id,trim,subTrim,condition,isOneOwner,mileage,age,color,disp_cont,fuel,state,region,soundSystem,wheelType,wheelSize,featureCount, price 
5059,550,unsp,New,False,8,1,White,4.6,Gasoline,SC,SoA,Premium,Alloy,unsp,66," $109,300.00 "
5061,550,unsp,New,False,5,1,White,4.6,Gasoline,CA,Pac,unsp,Alloy,19,87," $115,690.00 "
5062,550,unsp,New,False,7,1,Gray,4.6,Gasoline,CA,Pac,unsp,unsp,18,85," $102,345.00 "
5065,550,unsp,Used,False,23,2,Black,4.6,Gasoline,CA,Pac,Premium,unsp,unsp,67," $122,650.00 "
5066,550,unsp,New,False,5,2,Silver,4.6,Gasoline,CA,Pac,Premium,unsp,unsp,68," $99,595.00 "
5067,550,unsp,New,False,7,2,Black,4.6,Gasoline,FL,SoA,Premium,Alloy,unsp,64," $115,745.00 "
5070,550,unsp,New,False,12,1,Silver,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,6," $93,671.00 "
5072,550,unsp,New,False,5,1,White,4.6,Gasoline,CA,Pac,unsp,unsp,19,8," $114,740.00 "
5073,550,unsp,New,False,7,1,White,4.6,Gasoline,CA,Pac,unsp,unsp,19,14," $117,340.00 "
5074,550,unsp,Used,False,6654,2,White,4.6,Gasoline,FL,SoA,unsp,Alloy,unsp,90," $109,900.00 "
5076,550,unsp,New,False,10,2,White,4.6,Gasoline,NC,SoA,unsp,unsp,unsp,16," $110,161.00 "
5078,550,unsp,New,False,12,2,White,4.6,Gasoline,FL,SoA,Premium,Alloy,unsp,54," $110,310.00 "
5081,550,unsp,New,False,9,1,unsp,4.6,Gasoline,CA,Pac,unsp,Alloy,18,63," $117,340.00 "
5086,550,unsp,New,False,10,1,Blue,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,0," $117,840.00 "
5087,550,unsp,New,False,10,1,White,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,0," $117,135.00 "
5089,550,unsp,New,False,5,1,Green,4.6,Gasoline,CA,Pac,unsp,unsp,18,83," $134,525.00 "
5092,550,unsp,New,False,7,1,Silver,4.6,Gasoline,MS,ESC,Premium,Alloy,unsp,57," $107,225.00 "
5093,550,unsp,New,False,10,1,White,4.6,Gasoline,MS,ESC,Premium,Alloy,unsp,57," $109,300.00 "
5099,550,unsp,New,False,15,1,unsp,4.6,Gasoline,TX,WSC,unsp,unsp,18,90," $127,375.00 "
5105,550,unsp,New,False,49,2,White,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,1," $124,620.00 "
5106,550,unsp,New,False,16,2,Green,4.6,Gasoline,TX,WSC,unsp,unsp,unsp,0," $99,735.00 "
5107,550,unsp,New,False,10,1,White,4.6,Gasoline,FL,SoA,unsp,unsp,unsp,0," $116,000.00 "
5108,550,unsp,New,False,33,1,White,4.6,Gasoline,TX,WSC,unsp,unsp,18,85," $116,350.00 "
5109,550,unsp,New,False,8,1,White,4.6,Gasoline,CA,Pac,unsp,unsp,unsp,1," $114,740.00 "
5110,550,unsp,New,False,10,1,Silver,4.6,Gasoline,FL,SoA,unsp,unsp,unsp,0," $113,315.00 "
5114,550,unsp,Used,False,5005,2,unsp,4.6,Gasoline,WI,ENC,unsp,unsp,unsp,69," $94,876.00 "
5117,550,unsp,New,False,10,1,Black,4.6,Gasoline,NY,Mid,Premium,Alloy,unsp,55," $104,340.00 "
5118,550,unsp,New,False,7,1,Blue,4.6,Gasoline,NY,Mid,unsp,unsp,20,3," $120,075.00 "
5120,550,unsp,New,False,10,1,Black,4.6,Gasoline,NY,Mid,Premium,Alloy,unsp,59," $108,610.00 "
5123,550,unsp,New,False,9,2,Black,4.6,Gasoline,KS,WNC,Premium,unsp,unsp,71," $111,835.00 "
5126,550,unsp,New,False,10,1,Silver,4.6,Gasoline,NY,Mid,Premium,unsp,unsp,74," $107,735.00 "
5128,550,unsp,New,False,10,1,Silver,4.6,Gasoline,FL,SoA,Premium,unsp,unsp,77," $106,665.00 "
5130,550,unsp,New,False,12,1,unsp,4.6,Gasoline,IL,ENC,unsp,unsp,18,81," $110,560.00 "
5133,550,unsp,New,False,44,2,Black,4.6,Gasoline,NH,New,unsp,unsp,unsp,72," $107,085.00 "
5140,550,unsp,New,False,123,1,Black,4.6,Gasoline,NJ,Mid,Premium,Alloy,unsp,75," $122,685.00 "
5141,550,unsp,New,False,7,1,unsp,4.6,Gasoline,CO,Mtn,unsp,unsp,unsp,64," $122,305.00 "
5142,550,unsp,New,False,12,1,Black,4.6,Gasoline,NJ,Mid,unsp,unsp,unsp,0," $106,385.00 "
5143,550,unsp,New,False,8,1,Black,4.6,Gasoline,NJ,Mid,Premium,Alloy,unsp,66," $110,445.00 "
5145,550,unsp,New,False,16,1,Black,4.6,Gasoline,OH,ENC,Premium,Alloy,unsp,68," $138,325.00 "
5147,550,unsp,CPO,True,12775,2,Black,4.6,Gasoline,PA,Mid,unsp,unsp,unsp,12," $99,991.00 "
