iyear,imonth,iday,city,country,region,provstate,nkill,nkillter
2016,3,16,Maiduguri,147,11,Borno,27,2
1997,11,7,Degala,95,10,Arbil,0,
1989,9,11,Los Andes,43,3,Valparaiso,0,
2012,3,12,Belfast,603,8,Northern Ireland,0,0
2014,10,11,Afang,147,11,Plateau,3,0
2016,2,26,Kibia,160,5,North Cotabato,0,0
1987,4,10,Ahuachapan,61,2,,0,
2015,11,24,Tubruq,113,10,Butnan,0,0
1978,2,8,Lyon,69,8,Rhone,0,
2015,7,27,Ajdabiya,113,10,Wahat,1,0
1980,8,26,Santa Lucia Cotzumalguapa,83,2,,1,
2015,9,10,Diyarbakir,209,10,Diyarbakir,0,0
1987,1,15,Lima,159,3,Lima,0,
2013,2,1,Anitapan,160,5,Compostela Valley,0,0
2002,10,21,Ormoc,160,5,Leyte,1,0
2015,9,13,Dublin,96,8,Dublin,0,0
2007,2,20,Baghdad,95,10,Baghdad,9,0
1980,4,12,Bucaramanga,45,3,Santander,0,
1991,8,18,Zagreb,50,9,,0,
2015,9,4,Dushanbe,202,7,Unknown,5,1
2013,10,17,Baghdad,95,10,Baghdad,4,0
1983,4,0,Zamboanga City,160,5,Zamboanga del Sur,0,
2016,1,14,Maradah,113,10,Wahat,3,0
1979,8,30,Mexico City,130,1,,1,
1990,2,19,Sequeslambra,159,3,Unknown,9,
1994,1,6,Belfast,603,8,Northern Ireland,0,
1989,11,15,Magat,160,5,Unknown,0,
1994,4,21,Yankipinar,209,10,Kars,7,
2013,12,30,Albu-Hashmah,95,10,Saladin,4,0
2014,9,23,Benghazi,113,10,Benghazi,1,0
2011,2,7,Karachi,153,6,Sindh,0,0
2013,6,23,Gassaneyah,200,10,Homs,3,0
2014,9,11,Benghazi,113,10,Benghazi,0,0
2010,11,10,Mogadishu,182,11,Banaadir,2,0
1979,11,12,San Salvador,61,2,,,
1971,5,21,San Bruno,217,1,California,0,0
2008,6,18,Baqubah,95,10,Diyala,1,
1996,3,10,Lima,159,3,Lima,0,
1970,7,28,Pamplona,185,8,Navarre,,
2007,2,21,Mosul,95,10,Nineveh,1,1
1997,2,27,Belfast,603,8,Northern Ireland,0,
2015,6,15,Fallujah,95,10,Al Anbar,6,0
2014,8,24,Eshkol regional council,97,10,Southern,0,0
1972,12,14,Killeter,603,8,Northern Ireland,1,
2015,12,10,Quetta,153,6,Balochistan,0,0
2016,7,20,Latifiyah,95,10,Babil,1,0
2007,3,17,Ashkelon,97,10,Southern,,0
1987,4,14,La Paz,26,3,La Paz,0,
2015,7,17,Giza,60,10,Giza,0,0
2014,6,5,Banbury,603,8,England,0,0
2013,10,6,Amiriyat al-Fallujah,95,10,Al Anbar,2,0
2016,3,22,Baghdad,95,10,Baghdad,2,0
2015,6,19,Centro,160,5,Isabela,2,0
1996,5,15,Vilnius,115,9,,0,
1977,1,4,Aachen,362,8,North Rhine-Westphalia,,
2007,3,20,Baghdad,95,10,Baghdad,3,0
2006,7,3,Baghdad,95,10,Baghdad,1,1
2016,9,13,Albu Alwan,95,10,Al Anbar,1,0
2016,4,25,Baghdad,95,10,Baghdad,1,0
2007,1,4,Ghaziabad,4,6,Kunar,0,0
2016,8,11,Samtah,173,10,Jazan,1,0
2006,11,28,Baghdad,95,10,Baghdad,4,0
2013,9,29,Baqubah,95,10,Diyala,0,0
1996,10,15,Unknown,45,3,Antioquia,0,
1996,6,9,Aguas Calientes,145,2,,0,
2002,2,6,Unknown,160,5,Sarangani,0,0
1988,1,2,Unknown,83,2,Solola,18,
2014,7,11,Jakarta,93,5,Jakarta,0,0
2013,3,20,Bostan,153,6,Balochistan,0,0
2007,11,18,Baghdad,95,10,Baghdad,10,0
1981,11,12,San Juan Opico,61,2,,4,
2000,7,8,Hubli,92,6,Karnataka,0,0
2016,8,22,Goof Gaduud,182,11,Bay,8,8
2005,9,7,Unknown,155,10,Gaza Strip,1,0
1970,7,27,San Francisco,217,1,California,0,0
1999,3,5,Cankiri,209,10,Cankiri,4,0
1979,5,7,Unknown,69,8,Corsica,0,
2013,1,5,Tejgaon,19,6,Dhaka,0,0
2013,11,12,Kathmandu,141,6,Central,0,0
2015,6,2,Aqcha district,4,6,Jawzjan,3,0
2013,10,14,Yathrib,95,10,Saladin,1,0
2015,10,25,Bardere,182,11,Gedo,0,0
2011,9,20,Ankara,209,10,Ankara,5,0
1981,9,21,Beirut,110,10,Beirut,0,
2014,4,14,Khartsyzk,214,9,Donetsk,0,0
1982,5,5,Alamicamba,145,2,,15,
2008,11,25,Dera Allah Yar,153,6,Balochistan,0,0
1994,1,1,Belfast,603,8,Northern Ireland,0,
2009,9,6,Zuwaybi,228,10,Al Jawf,12,0
1994,4,23,Nablus,155,10,West Bank,0,
1988,5,3,San Salvador,61,2,,0,
2016,8,14,Yaha,205,5,Yala,0,0
1995,2,27,Karachi,153,6,Sindh,1,
2013,9,10,Kottamateru,92,6,Odisha,1,0
2013,4,28,Derna,113,10,Derna,0,0
1996,7,24,AsPerg,75,8,Baden-Wurttemberg,0,
2008,8,7,Bongaigaon,92,6,Assam,0,0
2015,6,29,Deh Rahwod district,4,6,Uruzgan,0,0
1992,7,16,Shari al-Juwaybir,95,10,Unknown,0,
1988,6,21,Unknown,45,3,Santander,0,
1988,1,8,Huayanay,159,3,Cusco,6,
2004,6,26,Lahore,153,6,Punjab,3,0
1982,10,16,Elizalde,185,8,Basque Country,0,
2005,5,30,Kabul,4,6,Kabul,0,0
2014,8,14,Unknown,228,10,Hadramawt,1,0
1989,9,11,Medellin,45,3,Antioquia,0,
1981,3,17,San Jose,49,2,,0,
1997,7,21,Istanbul,209,10,Istanbul,0,
2014,5,15,Bangkok,205,5,Bangkok,2,0
1983,1,9,Hebron,155,10,West Bank,0,
2013,10,28,Tripoli,110,10,North,0,0
1984,8,26,Unknown,69,8,Corsica,0,
2016,1,21,Nusaybin district,209,10,Mardin,0,0
2008,11,4,Sukhirin,205,5,Narathiwat,,
1989,3,4,Reggio nell Emilia,98,8,Emilia-Romagna,0,
2006,12,4,Peshawar,153,6,North-West Frontier Province,0,0
2016,4,5,Shahabuddin,4,6,Baghlan,7,5
2003,4,9,Kanthapur,92,6,Jammu and Kashmir,1,0
1974,8,14,Aleppo,200,10,Aleppo,0,
1988,9,4,Ayacucho district,159,3,Ayacucho,1,
2014,9,16,Cizre district,209,10,Sirnak,0,0
2002,10,6,Gulf of Aden,422,10,Gulf of Aden,1,
1984,8,25,Valparaiso,43,3,Valparaiso,0,
1979,6,29,Benidorm,185,8,Valencia,0,
2016,4,9,Baqubah,95,10,Diyala,1,0
2014,12,20,Nahri Saraj district,4,6,Helmand,5,5
2016,8,8,Unknown,123,11,Mopti,6,1
2014,3,8,Tikrit,95,10,Saladin,0,0
2011,7,3,Dhaka,19,6,Dhaka,0,0
2013,12,24,Ramadi,95,10,Al Anbar,0,0
1972,6,2,Rosslea,603,8,Northern Ireland,2,
2014,5,30,Severodonetsk,214,9,Luhansk,,0
1975,8,6,Everett,217,1,Washington,0,0
1996,7,27,Jakarta,93,5,,0,
2009,5,22,Nablus,155,10,West Bank,0,0
1985,6,24,Yarima,45,3,Santander,1,
1975,8,4,Kuala Lumpur,121,5,,0,
1999,10,0,San Onofre,45,3,Sucre,1,0
1984,9,13,Callao,159,3,Callao,0,
2009,7,23,Khairpur,153,6,Sindh,0,0
1970,12,13,Montevideo,218,3,Montevideo,0,
2013,7,21,Arteche,160,5,Eastern Samar,0,0
